D2039,Yunzixian62,modern cultivar,2021,indica,Yunnan,SW-I,13.02,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535594/CRR1535594_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535594/CRR1535594_r2.fq.gz
D319,Jigeng567,modern cultivar,2021,japonica,Jilin,NE,18.48,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536816/CRR1536816_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536816/CRR1536816_r2.fq.gz
D2442,82-520,modern cultivar,2021,indica,Jiangxi,CC-I,19.43,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536040/CRR1536040_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536040/CRR1536040_r2.fq.gz
D1680,Yanggengnuo5,modern cultivar,2021,japonica,Jiangsu,CC-J,12.22,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535196/CRR1535196_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535196/CRR1535196_r2.fq.gz
D2586,Fuyuxiangzhan,modern cultivar,2021,indica,Fujian,SC,14.09,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536210/CRR1536210_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536210/CRR1536210_r2.fq.gz
D1716,Nangengyinggu,modern cultivar,2021,japonica,Jiangsu,CC-J,10.75,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535234/CRR1535234_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535234/CRR1535234_r2.fq.gz
D1759,Zhendao33,modern cultivar,2021,japonica,Jiangsu,CC-J,9.69,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535278/CRR1535278_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535278/CRR1535278_r2.fq.gz
D2443,Panhunuo,modern cultivar,2021,indica,Jiangxi,CC-I,11.2,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536041/CRR1536041_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536041/CRR1536041_r2.fq.gz
D2440,Sijingxiang19,modern cultivar,2021,indica,Jiangxi,CC-I,15.65,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536038/CRR1536038_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536038/CRR1536038_r2.fq.gz
D6,Dongfu128,modern cultivar,2021,japonica,Heilongjiang,NE,12.38,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537746/CRR1537746_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537746/CRR1537746_r2.fq.gz
D2585,Tianhuang101,modern cultivar,2021,indica,Fujian,CC-I,11.07,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536552/CRR1536552_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536552/CRR1536552_r2.fq.gz
